City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Okhotsk,100,RU,1639975062,95,59.3833,143.3,3.34,12.19
Lebu,27,CL,1639974883,94,-37.6167,-73.65,56.43,14.18
Puerto Ayora,95,EC,1639975062,94,-0.7393,-90.3518,69.28,6.62
Vaini,75,TO,1639975063,70,-21.2,-175.2,84.36,9.22
Salalah,20,OM,1639975063,68,17.0151,54.0924,71.69,5.75
Albany,15,US,1639975063,77,42.6001,-73.9662,23.27,8.99
Castro,47,BR,1639974847,96,-24.7911,-50.0119,52.97,4.63
Port Augusta,3,AU,1639975063,32,-32.5,137.7667,86.7,16.08
Cape Town,0,ZA,1639975064,72,-33.9258,18.4232,70.11,1.01
Qaanaaq,96,GL,1639975064,67,77.484,-69.3632,19.78,10.31
Bredasdorp,100,ZA,1639975064,82,-34.5322,20.0403,67.28,12.66
Mahébourg,40,MU,1639974947,69,-20.4081,57.7,83.25,3.44
High Level,75,CA,1639975065,92,58.5169,-117.136,-3.89,0.0
Yellowknife,75,CA,1639975065,76,62.456,-114.3525,-19.68,13.8
Mataura,92,NZ,1639975065,76,-46.1927,168.8643,61.54,12.5
Bontang,100,ID,1639975065,73,0.1333,117.5,84.25,7.09
Marzuq,47,YE,1639975066,34,14.4,46.4667,67.6,0.98
Northam,82,GB,1639975066,97,51.0333,-4.2167,40.48,17.02
Barrow,90,US,1639975066,78,71.2906,-156.7887,8.62,31.07
São João da Barra,85,BR,1639975066,82,-21.6403,-41.0511,72.45,9.28
Mirpur Mathelo,3,PK,1639974880,9,28.0227,69.5489,69.73,3.96
Along,0,IN,1639975067,26,28.1667,94.7667,70.21,1.16
Busselton,0,AU,1639974818,40,-33.65,115.3333,79.45,13.51
Ribeira Grande,86,PT,1639975067,68,38.5167,-28.7,58.05,29.59
Port Alfred,77,ZA,1639975067,84,-33.5906,26.891,70.02,12.37
Neftegorsk,100,RU,1639974792,94,52.802,51.166,29.1,24.09
La Tiza,52,PA,1639975068,99,7.75,-80.2833,77.02,4.41
Kapaa,90,US,1639975068,82,22.0752,-159.319,78.78,7.0
Alice Springs,0,AU,1639975068,17,-23.7,133.8833,92.75,14.97
Bethel,1,US,1639975068,71,41.3712,-73.414,27.48,1.99
Constitución,47,CL,1639975069,78,-35.3333,-72.4167,57.6,10.13
Ushuaia,75,AR,1639975069,75,-54.8,-68.3,38.86,4.61
Fortuna,75,US,1639975069,84,40.5982,-124.1573,54.66,3.0
Carnarvon,0,AU,1639975069,61,-24.8667,113.6333,80.67,19.57
Uvarovo,92,RU,1639975069,96,51.9849,42.2615,23.52,8.66
